ID;Nome Fantasia;Razão Social;CNPJ;Status Sintegra-RS;Segmento;CNAE Fiscal;Cidade;Endereço Completo;Bairro;CEP;Distância (km);Telefone;WhatsApp;E-mail;Possui Site?;Site / Website URL;Decisor;Porte;PDVs Estimados;Lead Score;Observações
CONT-150KM-044;Escritório Artmann;ESCRITORIO ARTMANN LTDA;12.444.505/0001-24;Ativa;Escritórios de Contabilidade;;Ibirubá;Rua Diniz Dias, 903;Centro;98200-000;77.9;(54) 3199-5555;555431995555;artmann@artmann.cnt.br;NÃO;Não possui site;Carlos Artmann;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Ibirubá-RS (77.9 km de Sarandi). Decisor: Carlos Artmann. Atende ~65 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-043;Escritório Contábil Zeni;ESCRITORIO CONTABIL ZENI LTDA;87.563.888/0001-59;Ativa;Escritórios de Contabilidade;;Ibirubá;Rua Tiradentes, 1034;Centro;98200-000;77.7;(54) 3324-1136;555433241136;zeni@zenicontabilidade.com.br;NÃO;Não possui site;Olinto Zeni;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Ibirubá-RS (77.7 km de Sarandi). Decisor: Olinto Zeni. Atende ~85 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-042;Master Escritório Contábil;MASTER ESCRITORIO CONTABIL LTDA;03.571.360/0001-31;Ativa;Escritórios de Contabilidade;;Panambi;Rua Barão do Rio Branco, 1008, Sala 203;Centro;98280-000;68.5;(55) 3375-3555;5555999765209;master@mastercontabil.com.br;NÃO;Não possui site;Armando Schneider;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Panambi-RS (68.5 km de Sarandi). Decisor: Armando Schneider. Atende ~80 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-041;Escritório Contábil Panambi;ESCRITORIO CONTABIL PANAMBI LTDA;01.782.745/0001-12;Ativa;Escritórios de Contabilidade;;Panambi;Rua Sete de Setembro, 206;Centro;98280-000;68.7;(55) 3375-3150;555533753150;contabilpanambi@panambi.com.br;NÃO;Não possui site;Ernani Heusner;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Panambi-RS (68.7 km de Sarandi). Decisor: Ernani Heusner. Atende ~90 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-040;Fink Contabilidade;FINK ASSESSORIA CONTABIL LTDA;11.318.479/0001-25;Ativa;Escritórios de Contabilidade;;Frederico Westphalen;Rua Monsenhor Vítor Batistela, 294;Centro;98400-000;79.7;(55) 3744-7795;555537447795;fink@finkcontabilidade.com.br;NÃO;Não possui site;Alceu Fink;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Frederico Westphalen-RS (79.7 km de Sarandi). Decisor: Alceu Fink. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-037;Escritório Contábil Erechim;ESCRITORIO CONTABIL ERECHIM LTDA - ME;03.886.898/0001-35;Ativa;Escritórios de Contabilidade;;Erechim;Rua Itália, 174;Centro;99700-000;72.4;(54) 3522-1450;555435221450;contabilerechim@erechim.com.br;NÃO;Não possui site;Jaime Lorenzi;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Erechim-RS (72.4 km de Sarandi). Decisor: Jaime Lorenzi. Atende ~80 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-036;Contecas Contabilidade e Assessoria;CONTECAS CONTABILIDADE E ASSESSORIA LTDA;05.467.447/0001-99;Ativa;Escritórios de Contabilidade;;Erechim;Av. Maurício Cardoso, 710;Centro;99700-000;72.9;(54) 3522-0123;555435220123;contecas@contecas.com.br;NÃO;Não possui site;Valmor Conte;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Erechim-RS (72.9 km de Sarandi). Decisor: Valmor Conte. Atende ~100 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-035;Agiliza Soluções Contábeis;AGILIZA SOLUCOES CONTABEIS LTDA;10.596.243/0001-98;Ativa;Escritórios de Contabilidade;;Erechim;Rua Pedro Álvares Cabral, 574, Sala 605 (Centro Empresarial Imigrantes);Centro;99700-000;72.6;(54) 3522-2889;555435222889;atendimento@agiliza.cnt.br;SIM;http://www.agiliza.cnt.br;Fabiano Agiliza;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Erechim-RS (72.6 km de Sarandi). Decisor: Fabiano Agiliza. Atende ~120 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-034;Escritório de Contabilidade Oleksinski;ESCRITORIO DE CONTABILIDADE OLEKSINSKI LTDA;18.875.689/0001-63;Ativa;Escritórios de Contabilidade;;Getúlio Vargas;Rua Irmão Gabriel Leão, 455;Centro;99900-000;68.6;(54) 3341-3396;555433413396;oleksinski@contabiloleksinski.com.br;NÃO;Não possui site;Carlos Oleksinski;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Getúlio Vargas-RS (68.6 km de Sarandi). Decisor: Carlos Oleksinski. Atende ~75 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-033;ST Serviços Contábeis (Contec);ST SERVICOS CONTABEIS LTDA;26.427.257/0001-18;Ativa;Escritórios de Contabilidade;;Não-Me-Toque;Rua Fernando Sturm, 75, Anexo;Centro;99470-000;58.1;(54) 3332-1317;555433321317;contec@stcontabilidade.com.br;NÃO;Não possui site;Silvano Tramontini;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Não-Me-Toque-RS (58.1 km de Sarandi). Decisor: Silvano Tramontini. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-032;Zanini Soluções Contábeis;ZANINI SOLUCOES CONTABEIS LTDA;07.430.956/0001-72;Ativa;Escritórios de Contabilidade;;Tapejara;Av. Sete de Setembro, 890;Centro;99950-000;90.3;(54) 3344-1200;555433441200;zanini@zaninicontabil.com.br;SIM;http://www.zaninicontabil.com.br;Volnei Zanini;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Tapejara-RS (90.3 km de Sarandi). Decisor: Volnei Zanini. Atende ~75 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-031;Canali Contabilidade;CANALI SERVICOS CONTABEIS LTDA;26.143.122/0001-20;Ativa;Escritórios de Contabilidade;;Tapejara;Rua do Comércio, 1371, Sala 102;Centro;99950-000;90.6;(54) 3344-2190;5554996935846;canali@canaliescritorio.com.br;NÃO;Não possui site;Diego Canali;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Tapejara-RS (90.6 km de Sarandi). Decisor: Diego Canali. Atende ~60 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-030;Pasa Contabilidade;PASA ASSESSORIA E CONSULTORIA CONTABIL LTDA;21.578.640/0001-53;Ativa;Escritórios de Contabilidade;;Tapejara;Rua Coronel Lolico, 145, Sala 202 (Ed. Profissional Center);Centro;99950-000;90.3;(54) 3344-3354;555433443354;pasa@pasacontabilidade.com.br;SIM;http://www.pasacontabilidade.com.br;Marcos Pasa;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Tapejara-RS (90.3 km de Sarandi). Decisor: Marcos Pasa. Atende ~80 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-029;Bervian e Zohler Contabilidade (Parceria);BERVIAN E ZOHLER CONTABILIDADE LTDA;21.975.769/0001-03;Ativa;Escritórios de Contabilidade;;Chapada;Rua Alfredo Winck, 563, Sala 02;Centro;99640-000;18.8;(54) 3333-1280;555433331280;parceria@parceriacontabil.com.br;SIM;http://www.parceriacontabil.com.br;Clóvis Bervian;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Chapada-RS (18.8 km de Sarandi). Decisor: Clóvis Bervian. Atende ~55 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-028;Planacon Contabilidade;PLANACON CONTABILIDADE LTDA;32.377.055/0001-01;Ativa;Escritórios de Contabilidade;;Constantina;Rua Amândio Araújo, 521, Sala 01;Centro;99680-000;24.6;(54) 3363-1436;555433631436;planacon@planacon.com.br;SIM;http://www.planacon.com.br;Cleomir Zanella;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Constantina-RS (24.6 km de Sarandi). Decisor: Cleomir Zanella. Atende ~50 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-026;Silva Contabilidade;LAERCIO MARCOS DA SILVA - ME;09.528.055/0001-43;Ativa;Escritórios de Contabilidade;;Ronda Alta;Rua Belo Horizonte, 33, Sala 01;Centro;99670-000;21.5;(54) 3364-1520;555433641520;silvacontabil@rondaalta.com.br;NÃO;Não possui site;Laercio Marcos da Silva;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Ronda Alta-RS (21.5 km de Sarandi). Decisor: Laercio Marcos da Silva. Atende ~45 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-025;Escritório de Contabilidade JB (Contec);ESCRITORIO DE CONTABILIDADE JB LTDA;16.602.712/0001-10;Ativa;Escritórios de Contabilidade;;Ronda Alta;Av. Presidente Vargas, 722;Centro;99670-000;21.7;(54) 3364-1331;555499177989;contec@contecrs.com.br;NÃO;Não possui site;João Batisti;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Ronda Alta-RS (21.7 km de Sarandi). Decisor: João Batisti. Atende ~60 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-024;Queiroz e Souza Assessoria Contábil;QUEIROZ E SOUZA ASSESSORIA CONTABIL LTDA;31.319.834/0001-98;Ativa;Escritórios de Contabilidade;;Palmeira das Missões;Rua Sete de Setembro, 137;Centro;98300-000;38.9;(55) 2121-1733;555521211733;contato@queirozesouza.com.br;SIM;http://www.queirozesouza.com.br;Mateus Queiroz;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Palmeira das Missões-RS (38.9 km de Sarandi). Decisor: Mateus Queiroz. Atende ~55 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-023;Ribeiro Contabilidade (Missões Contabilidade);RIBEIRO CONTABILIDADE E ASSESSORIA LTDA;05.684.788/0001-16;Ativa;Escritórios de Contabilidade;;Palmeira das Missões;Av. Independência, 930, Sala 03;Centro;98300-000;38.6;(55) 3742-1733;555537421733;ribeiro@missoescontabil.com.br;NÃO;Não possui site;Edison Ribeiro;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Palmeira das Missões-RS (38.6 km de Sarandi). Decisor: Edison Ribeiro. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-022;Escritório Contábil Scalcon & Maia;ESCRITORIO CONTABIL SCALCON & MAIA LTDA;03.548.855/0001-40;Ativa;Escritórios de Contabilidade;;Palmeira das Missões;Rua Benjamin Constant, 474;Centro;98300-000;38.5;(55) 3742-5515;555537425515;scalcon.maia@scalcon.com.br;NÃO;Não possui site;Valter Scalcon;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Palmeira das Missões-RS (38.5 km de Sarandi). Decisor: Valter Scalcon. Atende ~75 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-021;Exatas Contabilidade e Assessoria Empresarial;EXATAS CONTABILIDADE E ASSESSORIA EMPRESARIAL LTDA;48.952.531/0001-00;Ativa;Escritórios de Contabilidade;;Palmeira das Missões;Rua Sete de Setembro, 432;Centro;98300-000;38.7;(55) 3742-2658;5555991221297;contato@exatas.cnt.br;SIM;http://www.exatas.cnt.br;Rodrigo Silva;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Palmeira das Missões-RS (38.7 km de Sarandi). Decisor: Rodrigo Silva. Atende ~65 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-020;Rigo Assessoria Empresarial;RIGO ASSESSORIA EMPRESARIAL LTDA;00.983.549/0001-43;Ativa;Escritórios de Contabilidade;;Marau;Av. Júlio Borella, 1362, Sala 201;Centro;99150-000;90.6;(54) 3342-9700;555433429700;rigo@rigoassessoria.com.br;NÃO;Não possui site;Volnei Rigo;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Marau-RS (90.6 km de Sarandi). Decisor: Volnei Rigo. Atende ~95 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-019;Via Contabilidade;VIA CONTABILIDADE LTDA;10.481.268/0001-46;Ativa;Escritórios de Contabilidade;;Marau;Rua Bento Gonçalves, 1044;Centro;99150-000;90.3;(54) 3342-2899;555433422899;viacontabil@viacontabilidade.com.br;SIM;http://www.viacontabilidade.com.br;Marcos Bortoluzzi;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Marau-RS (90.3 km de Sarandi). Decisor: Marcos Bortoluzzi. Atende ~80 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-018;ContaPro Contabilidade;CONTAPRO CONTABILIDADE LTDA;26.467.025/0001-93;Ativa;Escritórios de Contabilidade;;Marau;Rua Darvin Marosin, 166, Sala 401;Centro;99150-000;90.5;(54) 3342-3151;555433423151;contato@contapro.com.br;SIM;http://www.contapro.com.br;Leandro Marosin;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Marau-RS (90.5 km de Sarandi). Decisor: Leandro Marosin. Atende ~90 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-017;Ferres Serviços Contábeis;FERRES SERVICOS CONTABEIS LTDA;10.618.807/0001-46;Ativa;Escritórios de Contabilidade;;Passo Fundo;Rua Dr. Gelson Ribeiro, 287, Sala 01;Vera Cruz;99040-600;62.8;(54) 3314-2210;555433142210;contato@ferres.cnt.br;SIM;http://www.ferres.cnt.br;Rodrigo Ferres;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Passo Fundo-RS (62.8 km de Sarandi). Decisor: Rodrigo Ferres. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-016;Salvador Contabilistas Associados;SALVADOR CONTABILISTAS ASSOCIADOS LTDA;04.363.365/0001-31;Ativa;Escritórios de Contabilidade;;Passo Fundo;Rua Lava Pés, 542;Centro;99010-170;61.3;(54) 3313-3755;555433133755;salvador@salvadorcontabil.com.br;NÃO;Não possui site;Claudio Salvador;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Passo Fundo-RS (61.3 km de Sarandi). Decisor: Claudio Salvador. Atende ~105 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-015;Escritório Assecon Contábil;ESCRITORIO ASSECON CONTABIL LTDA;94.263.258/0001-24;Ativa;Escritórios de Contabilidade;;Passo Fundo;Rua Independência, 808, Sala 204;Centro;99010-041;61.8;(54) 3311-0605;555433110605;contato@escritorioassecon.com.br;SIM;http://www.escritorioassecon.com.br;Julio Cezar Assecon;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Passo Fundo-RS (61.8 km de Sarandi). Decisor: Julio Cezar Assecon. Atende ~125 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-014;In Company Soluções Contábeis;SANSIGOLO & BUSKE SOLUCOES CONTABEIS LTDA;28.229.837/0001-26;Ativa;Escritórios de Contabilidade;;Passo Fundo;Av. Presidente Vargas, 1305, Sala 202 (Edifício Soso);São Cristóvão;99070-000;61.7;(54) 3198-1566;555431981566;contato@incompany.cnt.br;SIM;http://www.incompany.cnt.br;Eduardo Sansigolo;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Passo Fundo-RS (61.7 km de Sarandi). Decisor: Eduardo Sansigolo. Atende ~110 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-013;Contasa Contabilidade e Assessoria;CONTASA CONTABILIDADE E ASSESSORIA LTDA;92.405.893/0001-73;Ativa;Escritórios de Contabilidade;;Passo Fundo;Av. Presidente Vargas, 389;Centro;99070-000;61.6;(54) 3317-2977;555433172977;contato@contasa.net.br;SIM;http://www.contasa.net.br;Gilberto Contasa;DEMAIS;1;95;Escritório de Contabilidade auditado e ativo em Passo Fundo-RS (61.6 km de Sarandi). Decisor: Gilberto Contasa. Atende ~140 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-012;Prisma Gestão Contábil;PRISMA GESTAO CONTABIL LTDA;10.442.872/0001-63;Ativa;Escritórios de Contabilidade;;Carazinho;Av. Pátria, 635, Sala 101;Centro;99500-000;40.2;(54) 3330-1796;555433301796;prismacontabil@prismars.com.br;SIM;http://www.prismars.com.br;Roberto Soares;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (40.2 km de Sarandi). Decisor: Roberto Soares. Atende ~75 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-011;Addizionare Contabilidade;ADDIZIONARE CONTABILIDADE LTDA;08.817.392/0001-98;Ativa;Escritórios de Contabilidade;;Carazinho;Av. Flores da Cunha, 1455, Sala 07 (Edifício Everest Center);Centro;99500-000;40.0;(54) 3331-3853;555433313853;contato@addizionare.com.br;NÃO;Não possui site;Luciano Signor;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (40.0 km de Sarandi). Decisor: Luciano Signor. Atende ~90 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-010;Conttaflex Serviços de Contabilidade;CONTTAFLEX SERVICOS DE CONTABILIDADE LTDA;05.726.892/0001-26;Ativa;Escritórios de Contabilidade;;Carazinho;Av. Flores da Cunha, 2150;Centro;99500-000;39.6;(54) 3329-2828;555433292828;conttaflex@conttaflex.com.br;SIM;http://www.conttaflex.com.br;Renato Santos;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (39.6 km de Sarandi). Decisor: Renato Santos. Atende ~50 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-009;Tibola Contabilidade;TIBOLA CONTABILIDADE LTDA;05.136.245/0001-64;Ativa;Escritórios de Contabilidade;;Carazinho;Rua Alexandre da Motta, 640;Centro;99500-000;40.5;(54) 3302-1440;555433021440;atendimento@tibolacontabilidade.com.br;SIM;http://www.tibolacontabilidade.com.br;Marcos Tibola;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (40.5 km de Sarandi). Decisor: Marcos Tibola. Atende ~65 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-008;Escritório Momberger & Hoffmann;MOMBERGER & HOFFMANN SERVICOS CONTABEIS LTDA;04.470.186/0001-01;Ativa;Escritórios de Contabilidade;;Carazinho;Av. Pátria, 890;Centro;99500-000;40.2;(54) 3331-2935;555433312935;contato@mombergerhoffmann.com.br;NÃO;Não possui site;Paulo Hoffmann;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (40.2 km de Sarandi). Decisor: Paulo Hoffmann. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-007;Giehl Serviços Contábeis;GIEHL SERVICOS CONTABEIS LTDA;03.388.079/0001-68;Ativa;Escritórios de Contabilidade;;Carazinho;Rua Bernardo Paz, 310;Centro;99500-000;40.3;(54) 3331-3537;555433313537;giehl@giehlcontabil.com.br;NÃO;Não possui site;Jorge Giehl;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (40.3 km de Sarandi). Decisor: Jorge Giehl. Atende ~60 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-006;Adcon Auditoria e Contabilidade;ADCON-AUDITORIA E CONTABILIDADE S/C LTDA;02.457.435/0001-95;Ativa;Escritórios de Contabilidade;;Carazinho;Rua Venâncio Aires, 420;Centro;99500-000;40.0;(54) 3331-3977;555433313977;adcon@adconcontabilidade.com.br;SIM;http://www.adconcontabilidade.com.br;Sérgio Dutra;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (40.0 km de Sarandi). Decisor: Sérgio Dutra. Atende ~95 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-005;Almeida Serviços Contábeis;ALMEIDA SERVICOS CONTABEIS LTDA;00.104.249/0001-47;Ativa;Escritórios de Contabilidade;;Carazinho;Av. Flores da Cunha, 1280;Centro;99500-000;39.9;(54) 2141-4655;555421414655;contato@almeidacontabilidade.com.br;NÃO;Não possui site;Carlos Almeida;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Carazinho-RS (39.9 km de Sarandi). Decisor: Carlos Almeida. Atende ~85 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-004;Escritório Contábil Apolo;ESCRITORIO CONTABIL APOLO LTDA;93.237.824/0001-60;Ativa;Escritórios de Contabilidade;;Sarandi;Rua Paulo Dall'Oglio, 689, Sala 101;Centro;99560-000;0.2;(54) 3361-3644;555433613644;apolocontabil@sarandi.com.br;NÃO;Não possui site;Adelar Paulo Colpani;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Sarandi-RS (0.2 km de Sarandi). Decisor: Adelar Paulo Colpani. Atende ~55 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-003;Escritório Contábil Visão;ORGANIZACAO CONTABIL VISAO LTDA;90.533.993/0001-50;Ativa;Escritórios de Contabilidade;;Sarandi;Rua Sete de Setembro, 1123;Parque Industrial IV;99560-000;0.5;(54) 3361-3312;555433613312;contabilvisao@annex.com.br;NÃO;Não possui site;Diretoria Contábil Visão;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Sarandi-RS (0.5 km de Sarandi). Decisor: Diretoria Contábil Visão. Atende ~60 comércios potenciais. Multiplicador B2B2B prioritário.
